,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,40,0,20,0,10,0,0,0,0,0.0,0.0,0.023529411764705882,0.004705882352941176,0.0,0,0,0
2,38,2,20,0,10,0,0,0,0,0.0,0.0,0.04470588235294118,0.011764705882352941,0.0,2,0,0
3,37,3,20,0,10,0,0,0,0,0.0,0.0,0.0611764705882353,0.018823529411764704,0.0,3,0,0
4,35,5,19,1,10,0,0,0,0,4.0,0.0,0.08,0.02588235294117647,0.0,4,1,0
5,34,4,19,1,10,0,0,1,0,4.0,0.0,0.09647058823529411,0.03058823529411765,0.0,4,1,0
6,33,3,19,1,10,0,0,2,0,4.0,0.0,0.11294117647058824,0.03764705882352941,0.0,5,1,0
7,33,3,19,1,10,0,0,2,0,4.0,0.0,0.12941176470588237,0.04470588235294118,0.0,5,1,0
8,32,4,19,1,10,0,0,2,0,4.0,0.0,0.15058823529411763,0.04941176470588235,0.0025,6,1,0
9,31,5,19,1,10,0,0,2,0,6.0,0.0,0.16470588235294117,0.05411764705882353,0.005,6,1,0
10,31,3,19,1,10,0,0,3,0,6.0,0.0,0.17411764705882352,0.0611764705882353,0.0075,6,1,0
11,31,3,19,1,10,0,0,3,0,6.0,0.0,0.18352941176470589,0.06823529411764706,0.01,6,1,0
12,31,3,19,1,10,0,0,3,0,6.0,0.0,0.1952941176470588,0.07529411764705882,0.0125,6,1,0
13,31,3,19,1,10,0,0,3,0,6.0,0.0,0.20705882352941177,0.08470588235294117,0.015,6,1,0
14,30,4,20,1,10,0,0,3,0,7.5,0.0,0.2188235294117647,0.09647058823529411,0.0175,5,1,0
15,30,2,18,3,10,0,0,4,0,7.5,0.0,0.22588235294117648,0.10823529411764705,0.02,5,3,0
16,30,2,18,4,10,0,0,4,0,7.5,24.0,0.23058823529411765,0.11529411764705882,0.0225,4,3,0
17,30,2,18,2,10,0,0,4,1,7.5,24.0,0.2376470588235294,0.12470588235294118,0.025,4,3,0
