,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,20,0,10,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,19,1,10,0,5,0,0,0,0,0.0,0.0,0.017857142857142856,0.0038461538461538464,0.0,1,0,0
2,18,2,10,0,5,0,0,0,0,0.0,0.0,0.02857142857142857,0.011538461538461539,0.0,2,0,0
3,17,3,10,0,5,0,0,0,0,2.0,0.0,0.03571428571428571,0.019230769230769232,0.0038461538461538464,2,0,0
4,17,1,10,0,5,0,0,1,0,2.0,0.0,0.04285714285714286,0.026923076923076925,0.007692307692307693,2,0,0
5,17,1,10,0,5,0,0,1,0,2.0,0.0,0.05,0.03461538461538462,0.011538461538461539,2,0,0
6,17,1,10,0,5,0,0,1,0,2.0,0.0,0.05714285714285714,0.04230769230769231,0.015384615384615385,2,0,0
7,16,2,10,0,5,0,0,1,0,7.0,0.0,0.06785714285714285,0.05,0.019230769230769232,2,0,0
8,16,0,10,0,5,0,0,2,0,7.0,0.0,0.075,0.057692307692307696,0.023076923076923078,2,0,0
9,16,0,9,1,4,1,0,2,0,7.0,0.0,0.07857142857142857,0.06538461538461539,0.026923076923076925,2,1,1
10,16,0,9,1,4,1,0,2,0,7.0,0.0,0.08571428571428572,0.06923076923076923,0.026923076923076925,2,1,1
11,16,0,10,1,4,1,0,2,0,7.0,0.0,0.09642857142857143,0.07692307692307693,0.03076923076923077,1,1,1
12,16,0,10,1,4,1,0,2,0,7.0,0.0,0.10357142857142858,0.08461538461538462,0.03461538461538462,1,1,1
13,16,0,10,1,4,1,0,2,0,7.0,0.0,0.11428571428571428,0.09230769230769231,0.038461538461538464,1,1,1
14,16,0,10,1,4,1,0,2,0,7.0,0.0,0.125,0.1,0.04230769230769231,1,1,1
15,16,0,9,2,4,1,0,2,0,7.0,12.0,0.1357142857142857,0.1076923076923077,0.046153846153846156,1,1,1
16,15,1,9,0,4,1,0,2,1,7.0,12.0,0.14285714285714285,0.11153846153846154,0.05,2,1,1
17,15,1,10,0,4,0,1,2,1,7.0,12.0,0.14642857142857144,0.11538461538461539,0.05384615384615385,1,1,0
18,15,1,10,0,4,0,1,2,1,7.0,12.0,0.15,0.12307692307692308,0.05384615384615385,1,1,0
19,15,1,10,0,5,0,1,2,1,7.0,12.0,0.16071428571428573,0.13076923076923078,0.057692307692307696,1,0,0
20,15,1,9,1,5,0,1,2,1,7.0,12.0,0.17142857142857143,0.1346153846153846,0.06153846153846154,1,1,0
21,15,1,9,1,5,0,1,2,1,7.0,12.0,0.18214285714285713,0.13846153846153847,0.06538461538461539,1,1,0
22,14,2,9,1,4,1,1,2,1,7.0,12.0,0.19285714285714287,0.14615384615384616,0.06923076923076923,2,1,1
23,14,2,9,1,4,1,1,2,1,7.0,12.0,0.2,0.15384615384615385,0.06923076923076923,2,1,1
24,13,3,9,1,4,1,1,2,1,6.0,12.0,0.21071428571428572,0.16153846153846155,0.07307692307692308,2,1,1
25,13,1,9,1,4,0,2,3,1,6.0,12.0,0.21785714285714286,0.16923076923076924,0.07692307692307693,2,1,0
26,13,1,9,1,4,0,2,3,1,6.0,12.0,0.225,0.17692307692307693,0.07692307692307693,2,1,0
27,13,1,9,1,4,0,2,3,1,6.0,12.0,0.2357142857142857,0.18461538461538463,0.08076923076923077,2,1,0
28,13,1,9,1,4,0,2,3,1,6.0,12.0,0.24642857142857144,0.18846153846153846,0.08461538461538462,2,1,0
29,13,1,9,2,4,0,2,3,1,6.0,12.0,0.25357142857142856,0.19230769230769232,0.08846153846153847,1,2,0
30,13,1,9,2,4,0,2,3,1,6.0,12.0,0.2571428571428571,0.19615384615384615,0.09230769230769231,1,2,0
31,13,1,9,2,4,0,2,3,1,6.0,12.0,0.2642857142857143,0.2,0.09615384615384616,1,2,0
32,13,1,9,2,4,0,2,3,1,6.0,12.0,0.2714285714285714,0.2076923076923077,0.1,1,2,0
33,13,1,9,2,4,0,2,3,1,6.0,12.0,0.28214285714285714,0.2076923076923077,0.10384615384615385,1,2,0
34,13,1,9,2,4,0,2,3,1,6.0,12.0,0.2892857142857143,0.2076923076923077,0.1076923076923077,1,2,0
35,12,2,9,2,4,0,2,3,1,6.0,12.0,0.29642857142857143,0.21153846153846154,0.11153846153846154,2,2,0
36,12,2,9,2,4,0,2,3,1,6.0,12.0,0.3,0.2153846153846154,0.11538461538461539,2,2,0
37,11,3,8,3,4,0,2,3,1,5.5,14.0,0.30714285714285716,0.21923076923076923,0.11923076923076924,2,2,0
38,11,1,8,1,4,0,2,4,2,5.5,14.0,0.3107142857142857,0.21923076923076923,0.12307692307692308,2,2,0
39,11,1,8,1,4,0,2,4,2,5.5,14.0,0.3142857142857143,0.21923076923076923,0.12692307692307692,2,2,0
40,11,1,8,1,4,0,2,4,2,5.5,14.0,0.32142857142857145,0.22692307692307692,0.12692307692307692,2,2,0
41,11,1,8,1,4,0,2,4,2,5.5,14.0,0.32857142857142857,0.23076923076923078,0.12692307692307692,2,2,0
42,11,1,8,1,4,0,2,4,2,5.5,14.0,0.3357142857142857,0.23461538461538461,0.13076923076923078,2,2,0
43,11,1,9,1,4,0,2,4,2,5.5,14.0,0.34285714285714286,0.2423076923076923,0.13076923076923078,1,2,0
44,10,2,9,1,4,0,2,4,2,5.5,14.0,0.3464285714285714,0.24615384615384617,0.13076923076923078,2,2,0
45,10,2,9,1,4,0,2,4,2,5.5,14.0,0.35,0.25,0.1346153846153846,2,2,0
46,10,2,9,1,4,0,2,4,2,5.5,14.0,0.35714285714285715,0.25769230769230766,0.1346153846153846,2,2,0
47,10,2,9,1,4,0,2,4,2,5.5,14.0,0.36428571428571427,0.26153846153846155,0.1346153846153846,2,2,0
48,10,2,9,1,4,0,2,4,2,5.5,14.0,0.37142857142857144,0.2653846153846154,0.13846153846153847,2,2,0
49,9,3,9,1,5,0,2,4,2,6.4,14.0,0.37857142857142856,0.27307692307692305,0.13846153846153847,2,1,0
50,9,1,9,1,5,0,2,5,2,6.4,14.0,0.3821428571428571,0.27307692307692305,0.13846153846153847,2,1,0
51,9,1,9,1,5,0,2,5,2,6.4,14.0,0.38571428571428573,0.27692307692307694,0.1423076923076923,2,1,0
52,9,1,9,1,5,0,2,5,2,6.4,14.0,0.3892857142857143,0.28076923076923077,0.14615384615384616,2,1,0
53,9,1,9,1,5,0,2,5,2,6.4,14.0,0.39285714285714285,0.2846153846153846,0.15,2,1,0
54,9,1,9,1,5,0,2,5,2,6.4,14.0,0.3964285714285714,0.28846153846153844,0.15384615384615385,2,1,0
55,9,1,8,2,5,0,2,5,2,6.4,14.0,0.4,0.28846153846153844,0.1576923076923077,2,2,0
56,9,1,8,2,5,0,2,5,2,6.4,14.0,0.40714285714285714,0.28846153846153844,0.16153846153846155,2,2,0
57,9,1,8,2,5,0,2,5,2,6.4,14.0,0.4142857142857143,0.2923076923076923,0.16538461538461538,2,2,0
58,9,1,8,2,5,0,2,5,2,6.4,14.0,0.42142857142857143,0.29615384615384616,0.16923076923076924,2,2,0
59,9,1,8,2,5,0,2,5,2,6.4,14.0,0.42857142857142855,0.3,0.17307692307692307,2,2,0
60,9,1,8,2,5,0,2,5,2,6.4,14.0,0.43214285714285716,0.3038461538461538,0.17692307692307693,2,2,0
61,9,1,9,2,5,0,2,5,2,6.4,14.0,0.4357142857142857,0.3076923076923077,0.17692307692307693,1,2,0
62,9,1,9,2,5,0,2,5,2,6.4,14.0,0.4357142857142857,0.31153846153846154,0.17692307692307693,1,2,0
63,9,1,9,2,5,0,2,5,2,6.4,14.0,0.4392857142857143,0.3153846153846154,0.17692307692307693,1,2,0
64,8,2,9,2,5,0,2,5,2,6.4,14.0,0.44285714285714284,0.3192307692307692,0.17692307692307693,2,2,0
65,8,2,9,2,5,0,2,5,2,6.4,14.0,0.44285714285714284,0.3192307692307692,0.17692307692307693,2,2,0
66,8,2,9,2,5,0,2,5,2,6.4,14.0,0.44642857142857145,0.3192307692307692,0.17692307692307693,2,2,0
67,8,2,9,2,5,0,2,5,2,6.4,14.0,0.45,0.3192307692307692,0.17692307692307693,2,2,0
68,7,3,9,2,5,0,2,5,2,6.666666666666667,14.0,0.45357142857142857,0.3230769230769231,0.17692307692307693,2,2,0
69,7,1,9,2,5,0,2,6,2,6.666666666666667,14.0,0.45357142857142857,0.3269230769230769,0.17692307692307693,2,2,0
70,7,1,9,2,5,0,2,6,2,6.666666666666667,14.0,0.45357142857142857,0.3346153846153846,0.17692307692307693,2,2,0
71,7,1,8,3,5,0,2,6,2,6.666666666666667,43.333333333333336,0.45357142857142857,0.34615384615384615,0.17692307692307693,2,2,0
72,7,1,8,1,5,0,2,6,3,6.666666666666667,43.333333333333336,0.45357142857142857,0.34615384615384615,0.17692307692307693,2,1,0
73,7,1,9,1,5,0,2,6,3,6.666666666666667,43.333333333333336,0.45357142857142857,0.34615384615384615,0.17692307692307693,1,1,0
