,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,40,0,20,0,10,0,0,0,0,0.0,0.0,0.023529411764705882,0.004705882352941176,0.0,0,0,0
2,39,1,20,0,10,0,0,0,0,0.0,0.0,0.047058823529411764,0.009411764705882352,0.0,1,0,0
3,39,1,20,0,10,0,0,0,0,0.0,0.0,0.06823529411764706,0.01411764705882353,0.0,1,0,0
4,36,4,20,0,10,0,0,0,0,0.0,0.0,0.09176470588235294,0.018823529411764704,0.0,4,0,0
5,35,5,20,0,10,0,0,0,0,6.0,0.0,0.10352941176470588,0.023529411764705882,0.0,4,0,0
6,34,4,20,0,10,0,0,1,0,5.0,0.0,0.11764705882352941,0.02823529411764706,0.0025,4,0,0
7,33,3,20,0,9,1,0,2,0,5.333333333333333,0.0,0.12470588235294118,0.03529411764705882,0.005,4,0,1
8,33,1,20,0,9,1,0,3,0,5.333333333333333,0.0,0.13176470588235295,0.042352941176470586,0.005,4,0,1
9,33,1,21,0,9,1,0,3,0,5.333333333333333,0.0,0.1388235294117647,0.04941176470588235,0.0075,3,0,1
10,32,2,21,0,9,1,0,3,0,7.0,0.0,0.14588235294117646,0.058823529411764705,0.01,3,0,1
11,32,0,20,1,9,1,0,4,0,7.0,0.0,0.15529411764705883,0.06823529411764706,0.0125,3,1,1
12,32,0,20,1,9,1,0,4,0,7.0,0.0,0.1623529411764706,0.07529411764705882,0.015,3,1,1
13,31,1,19,2,9,1,0,4,0,7.0,0.0,0.17176470588235293,0.08235294117647059,0.0175,4,2,1
14,31,1,18,3,9,1,0,4,0,7.0,6.0,0.1811764705882353,0.08705882352941176,0.02,4,2,1
15,30,2,18,1,9,1,0,4,1,7.0,6.0,0.19058823529411764,0.09411764705882353,0.0225,5,2,1
16,28,4,18,1,9,1,0,4,1,6.8,6.0,0.1976470588235294,0.10352941176470588,0.025,6,2,1
