,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,40,0,20,0,10,0,0,0,0,0.0,0.0,0.023529411764705882,0.004705882352941176,0.0,0,0,0
2,37,3,19,1,10,0,0,0,0,0.0,0.0,0.04470588235294118,0.009411764705882352,0.0,3,1,0
3,37,3,19,1,10,0,0,0,0,0.0,0.0,0.0611764705882353,0.011764705882352941,0.0,3,1,0
4,34,6,19,1,10,0,0,0,0,0.0,0.0,0.08,0.018823529411764704,0.0,6,1,0
5,34,6,19,1,10,0,0,0,0,0.0,0.0,0.09411764705882353,0.02588235294117647,0.0,6,1,0
6,34,6,19,1,10,0,0,0,0,0.0,0.0,0.11294117647058824,0.03294117647058824,0.0,6,1,0
7,32,8,19,1,10,0,0,0,0,8.0,0.0,0.12941176470588237,0.04,0.0,6,1,0
8,31,5,19,1,10,0,0,2,0,9.333333333333334,0.0,0.1411764705882353,0.047058823529411764,0.0,6,1,0
9,29,5,19,1,10,0,0,3,0,10.4,0.0,0.15294117647058825,0.05647058823529412,0.0,6,1,0
10,29,1,19,1,10,0,0,5,0,10.4,0.0,0.16470588235294117,0.06588235294117648,0.0,6,1,0
11,29,1,18,2,10,0,0,5,0,10.4,0.0,0.17411764705882352,0.07764705882352942,0.0,6,2,0
12,29,1,17,3,10,0,0,5,0,10.4,20.0,0.18588235294117647,0.08705882352941176,0.0,6,2,0
13,29,1,18,1,10,0,0,5,1,10.4,20.0,0.1976470588235294,0.09647058823529411,0.0,5,2,0
14,28,2,19,1,10,0,0,5,1,12.0,20.0,0.20470588235294118,0.10588235294117647,0.0,4,2,0
15,28,0,19,1,10,0,0,6,1,12.0,20.0,0.21411764705882352,0.11764705882352941,0.0,4,2,0
16,28,0,20,1,11,0,0,6,1,12.0,20.0,0.2235294117647059,0.12941176470588237,0.0,3,1,0
17,28,0,20,1,11,0,0,6,1,12.0,20.0,0.23294117647058823,0.1388235294117647,0.0,3,1,0
