,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,40,0,20,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,39,1,20,0,10,0,0,0,0,0.0,0.0,0.01647058823529412,0.009411764705882352,0.0025,1,0,0
2,37,3,18,2,10,0,0,0,0,0.0,0.0,0.03058823529411765,0.018823529411764704,0.005,3,2,0
3,37,3,18,2,10,0,0,0,0,0.0,0.0,0.04,0.023529411764705882,0.0075,3,2,0
4,37,3,18,2,10,0,0,0,0,0.0,0.0,0.05411764705882353,0.03294117647058824,0.01,3,2,0
5,36,4,16,4,10,0,0,0,0,0.0,0.0,0.06823529411764706,0.042352941176470586,0.0125,4,4,0
6,36,4,14,6,9,1,0,0,0,0.0,8.0,0.08,0.047058823529411764,0.015,4,4,1
7,36,4,14,2,9,1,0,0,2,0.0,8.0,0.09411764705882353,0.05176470588235294,0.015,4,4,1
8,35,5,14,2,9,1,0,0,2,6.0,8.0,0.10823529411764705,0.05647058823529412,0.0175,4,4,1
9,35,3,13,3,9,0,1,1,2,6.0,8.0,0.12,0.06588235294117648,0.02,4,4,0
10,33,5,13,1,9,0,1,1,3,13.333333333333334,8.0,0.13176470588235295,0.07294117647058823,0.02,4,4,0
11,32,2,12,2,9,0,1,3,3,13.333333333333334,9.0,0.1411764705882353,0.08,0.0225,5,4,0
12,32,2,12,0,9,0,1,3,4,13.333333333333334,9.0,0.15058823529411763,0.08705882352941176,0.025,5,4,0
13,31,3,12,0,10,0,1,3,4,13.333333333333334,9.0,0.1623529411764706,0.09411764705882353,0.0275,6,3,0
14,30,4,12,0,10,0,1,3,4,11.5,9.0,0.17411764705882352,0.1011764705882353,0.03,6,3,0
15,30,2,13,0,11,0,1,4,4,11.5,9.0,0.18588235294117647,0.11058823529411765,0.0325,5,2,0
16,29,3,13,0,12,0,1,4,4,10.4,9.0,0.1952941176470588,0.11294117647058824,0.035,5,1,0
17,29,1,13,0,12,0,1,5,4,10.4,9.0,0.2023529411764706,0.12,0.0375,5,1,0
18,29,1,14,0,12,0,1,5,4,10.4,9.0,0.20941176470588235,0.12941176470588237,0.04,4,1,0
19,29,1,14,1,12,0,1,5,4,10.4,9.0,0.21411764705882352,0.1388235294117647,0.0425,3,2,0
20,29,1,14,1,12,0,1,5,4,10.4,9.0,0.2211764705882353,0.14588235294117646,0.045,3,2,0
21,29,1,13,2,12,0,1,5,4,10.4,9.0,0.22823529411764706,0.15764705882352942,0.0475,3,3,0
22,28,2,15,2,13,0,1,5,4,10.4,9.0,0.23529411764705882,0.16705882352941176,0.05,2,2,0
23,28,2,15,2,13,0,1,5,4,10.4,9.0,0.2376470588235294,0.17647058823529413,0.0525,2,2,0
24,28,2,15,2,13,0,1,5,4,10.4,9.0,0.2447058823529412,0.18823529411764706,0.055,2,2,0
25,28,2,12,5,13,0,1,5,4,10.4,8.8,0.25176470588235295,0.2,0.0575,2,4,0
26,28,2,12,3,13,0,1,5,5,10.4,8.8,0.25882352941176473,0.2023529411764706,0.06,2,4,0
27,28,2,12,3,13,0,1,5,5,10.4,8.8,0.26588235294117646,0.20705882352941177,0.0625,2,4,0
28,28,2,12,3,12,1,1,5,5,10.4,8.8,0.2752941176470588,0.21411764705882352,0.0625,2,4,1
29,27,3,11,4,12,1,1,5,5,11.0,8.666666666666666,0.28705882352941176,0.2235294117647059,0.0625,2,4,1
30,27,1,11,2,12,1,1,6,6,11.0,8.666666666666666,0.28941176470588237,0.23058823529411765,0.0625,2,4,1
31,27,1,11,2,12,1,1,6,6,11.0,8.666666666666666,0.2917647058823529,0.2376470588235294,0.0625,2,4,1
32,27,1,11,2,12,1,1,6,6,11.0,8.666666666666666,0.2964705882352941,0.2447058823529412,0.0625,2,4,1
33,26,2,11,2,12,1,1,6,6,11.0,8.666666666666666,0.30117647058823527,0.24941176470588236,0.0625,3,4,1
34,26,2,11,2,13,1,1,6,6,11.0,8.666666666666666,0.3035294117647059,0.24941176470588236,0.065,3,3,1
35,26,2,11,2,13,1,1,6,6,11.0,8.666666666666666,0.31058823529411766,0.24941176470588236,0.0675,3,3,1
36,26,2,11,2,13,1,1,6,6,11.0,8.666666666666666,0.3176470588235294,0.25176470588235295,0.07,3,3,1
37,26,2,11,2,13,1,1,6,6,11.0,8.666666666666666,0.3247058823529412,0.2564705882352941,0.0725,3,3,1
38,25,3,11,2,13,1,1,6,6,10.857142857142858,8.666666666666666,0.3341176470588235,0.2611764705882353,0.075,3,3,1
39,24,2,11,2,12,2,1,7,6,10.857142857142858,8.666666666666666,0.3411764705882353,0.26823529411764707,0.0775,4,3,2
40,24,2,12,2,13,2,1,7,6,10.857142857142858,8.666666666666666,0.34823529411764703,0.27294117647058824,0.0775,3,2,2
41,24,2,12,2,13,2,1,7,6,10.857142857142858,8.666666666666666,0.35764705882352943,0.2776470588235294,0.08,3,2,2
42,23,3,12,2,13,2,1,7,6,10.857142857142858,8.666666666666666,0.36705882352941177,0.28,0.0825,4,2,2
43,22,4,12,2,13,2,1,7,6,9.75,8.666666666666666,0.3764705882352941,0.2823529411764706,0.085,4,2,2
44,22,2,12,2,13,2,1,8,6,9.75,8.666666666666666,0.3835294117647059,0.2847058823529412,0.0875,4,2,2
45,22,2,12,2,13,1,2,8,6,9.75,8.666666666666666,0.3905882352941176,0.28941176470588237,0.0925,4,2,1
46,22,2,13,0,13,1,2,8,7,9.75,15.142857142857142,0.3952941176470588,0.28941176470588237,0.095,3,1,1
47,22,2,13,0,13,1,2,8,7,9.75,15.142857142857142,0.3976470588235294,0.28941176470588237,0.1,3,1,1
48,22,2,13,0,13,1,2,8,7,9.75,15.142857142857142,0.4023529411764706,0.28941176470588237,0.105,3,1,1
49,22,2,13,0,13,1,2,8,7,9.75,15.142857142857142,0.4047058823529412,0.2964705882352941,0.11,3,1,1
50,22,2,13,0,13,0,3,8,7,9.75,15.142857142857142,0.40705882352941175,0.3058823529411765,0.115,3,1,0
51,22,2,13,0,13,0,3,8,7,9.75,15.142857142857142,0.40941176470588236,0.31529411764705884,0.1175,3,1,0
52,22,2,13,0,12,1,3,8,7,9.75,15.142857142857142,0.4117647058823529,0.3247058823529412,0.12,3,1,1
53,22,2,14,0,12,1,3,8,7,9.75,15.142857142857142,0.4164705882352941,0.3341176470588235,0.1225,2,1,1
54,21,3,14,0,12,0,4,8,7,9.75,15.142857142857142,0.4235294117647059,0.3411764705882353,0.125,3,1,0
55,20,4,13,1,12,0,4,8,7,9.75,15.142857142857142,0.43058823529411766,0.34352941176470586,0.1275,4,2,0
56,20,4,12,2,12,0,4,8,7,9.75,13.5,0.43529411764705883,0.34823529411764703,0.1325,4,2,0
57,20,4,12,0,12,0,4,8,8,9.75,13.5,0.4423529411764706,0.3552941176470588,0.1375,4,2,0
58,19,5,12,0,13,0,4,8,8,9.333333333333334,13.5,0.45176470588235296,0.35764705882352943,0.1425,4,1,0
59,17,5,11,1,13,0,4,9,8,12.181818181818182,13.5,0.45647058823529413,0.36,0.1475,4,2,0
60,17,1,11,1,13,0,4,11,8,12.181818181818182,13.5,0.45647058823529413,0.36470588235294116,0.1525,4,2,0
61,17,1,10,2,13,0,4,11,8,12.181818181818182,12.444444444444445,0.4588235294117647,0.36941176470588233,0.1575,4,2,0
62,17,1,10,0,13,0,4,11,9,12.181818181818182,12.444444444444445,0.46588235294117647,0.37411764705882355,0.1625,4,2,0
63,17,1,11,0,13,0,4,11,9,12.181818181818182,12.444444444444445,0.47294117647058825,0.3764705882352941,0.165,3,2,0
64,17,1,11,0,12,1,4,11,9,12.181818181818182,12.444444444444445,0.48,0.3811764705882353,0.1675,3,2,1
65,17,1,11,0,12,1,4,11,9,12.181818181818182,12.444444444444445,0.4823529411764706,0.38588235294117645,0.17,3,2,1
66,17,1,12,0,12,1,4,11,9,12.181818181818182,12.444444444444445,0.48470588235294115,0.39294117647058824,0.175,2,2,1
67,17,1,13,0,12,1,4,11,9,12.181818181818182,12.444444444444445,0.48705882352941177,0.4,0.18,1,2,1
68,17,1,13,0,12,1,4,11,9,12.181818181818182,12.444444444444445,0.4894117647058824,0.40705882352941175,0.185,1,2,1
69,17,1,13,0,12,1,4,11,9,12.181818181818182,12.444444444444445,0.4964705882352941,0.40941176470588236,0.19,1,2,1
70,17,1,12,1,12,1,4,11,9,12.181818181818182,12.444444444444445,0.5011764705882353,0.4117647058823529,0.195,1,3,1
71,15,3,12,1,12,1,4,11,9,12.181818181818182,12.444444444444445,0.5058823529411764,0.41411764705882353,0.2,3,3,1
72,15,3,12,1,12,1,4,11,9,12.181818181818182,12.444444444444445,0.5058823529411764,0.4164705882352941,0.2025,3,3,1
73,15,3,12,1,11,2,4,11,9,12.181818181818182,12.444444444444445,0.5129411764705882,0.4188235294117647,0.205,3,3,2
74,15,3,12,1,11,2,4,11,9,12.181818181818182,12.444444444444445,0.52,0.4235294117647059,0.2075,3,3,2
75,14,4,12,1,12,2,4,11,9,12.181818181818182,12.444444444444445,0.5294117647058824,0.4258823529411765,0.2125,4,2,2
76,13,5,12,1,12,2,4,11,9,12.0,12.444444444444445,0.5364705882352941,0.4258823529411765,0.2175,4,2,2
77,13,3,11,2,12,2,4,12,9,12.0,12.6,0.5435294117647059,0.4258823529411765,0.2225,4,2,2
78,13,3,11,0,12,2,4,12,10,12.0,12.6,0.548235294117647,0.4258823529411765,0.2275,4,2,2
79,13,3,11,0,12,2,4,12,10,12.0,12.6,0.5529411764705883,0.4258823529411765,0.2325,4,2,2
80,13,3,11,0,13,2,4,12,10,12.0,12.6,0.5576470588235294,0.42823529411764705,0.2375,4,1,2
81,13,3,11,0,13,1,5,12,10,12.0,12.6,0.5647058823529412,0.4329411764705882,0.2425,4,1,1
82,12,4,11,0,13,1,5,12,10,12.76923076923077,12.6,0.571764705882353,0.4376470588235294,0.245,4,1,1
83,11,3,11,0,13,1,5,13,10,13.0,12.6,0.5764705882352941,0.4423529411764706,0.2475,4,1,1
84,11,1,12,0,13,1,5,14,10,13.0,12.6,0.5764705882352941,0.4470588235294118,0.25,3,1,1
85,11,1,12,0,13,1,5,14,10,13.0,12.6,0.5788235294117647,0.45176470588235296,0.2525,3,1,1
86,11,1,12,0,13,1,5,14,10,13.0,12.6,0.5835294117647059,0.4541176470588235,0.255,3,1,1
87,11,1,11,1,13,1,5,14,10,13.0,12.6,0.5882352941176471,0.45647058823529413,0.2575,3,2,1
88,11,1,11,1,13,1,5,14,10,13.0,12.6,0.5905882352941176,0.4588235294117647,0.26,3,2,1
89,11,1,11,1,13,1,5,14,10,13.0,12.6,0.5905882352941176,0.4588235294117647,0.2625,3,2,1
90,11,1,11,1,13,0,6,14,10,13.0,12.6,0.5905882352941176,0.4588235294117647,0.265,3,2,0
91,11,1,10,2,13,0,6,14,10,13.0,12.181818181818182,0.5905882352941176,0.4588235294117647,0.265,3,2,0
92,11,1,10,0,13,0,6,14,11,13.0,12.181818181818182,0.5905882352941176,0.4588235294117647,0.265,3,2,0
