,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_to_Yellow_Transformations,Yellow_to_Red_Transformations,Avg_Green_Collection_Time,Avg_Yellow_Collection_Time,Visited_Ratio_Z1,Visited_Ratio_Z2,Visited_Ratio_Z3,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,20,0,10,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20,0,10,0,5,0,0,0,0,0.0,0.0,0.018823529411764704,0.009411764705882352,0.0,0,0,0
2,20,0,10,0,5,0,0,0,0,0.0,0.0,0.03764705882352941,0.018823529411764704,0.0,0,0,0
3,20,0,10,0,5,0,0,0,0,0.0,0.0,0.05647058823529412,0.02823529411764706,0.0,0,0,0
4,20,0,10,0,5,0,0,0,0,0.0,0.0,0.07529411764705882,0.03764705882352941,0.0,0,0,0
5,19,1,10,0,5,0,0,0,0,0.0,0.0,0.09176470588235294,0.04470588235294118,0.0,1,0,0
6,19,1,10,0,5,0,0,0,0,0.0,0.0,0.10588235294117647,0.05176470588235294,0.0,1,0,0
7,19,1,10,0,5,0,0,0,0,0.0,0.0,0.1223529411764706,0.058823529411764705,0.0,1,0,0
8,18,2,10,0,5,0,0,0,0,0.0,0.0,0.1388235294117647,0.06588235294117648,0.0,2,0,0
9,17,3,10,0,5,0,0,0,0,0.0,0.0,0.15294117647058825,0.07294117647058823,0.0,3,0,0
10,16,4,10,0,5,0,0,0,0,10.0,0.0,0.16470588235294117,0.08235294117647059,0.0,3,0,0
11,16,2,10,0,5,0,0,1,0,10.0,0.0,0.17647058823529413,0.09176470588235294,0.0,3,0,0
12,16,2,10,0,5,0,0,1,0,10.0,0.0,0.18823529411764706,0.1011764705882353,0.0,3,0,0
13,16,2,10,0,5,0,0,1,0,10.0,0.0,0.2023529411764706,0.11058823529411765,0.0,3,0,0
14,16,2,9,1,5,0,0,1,0,10.0,0.0,0.21411764705882352,0.1223529411764706,0.0,3,1,0
15,16,2,9,1,5,0,0,1,0,10.0,0.0,0.2235294117647059,0.13176470588235295,0.0,3,1,0
16,16,2,9,1,5,0,0,1,0,10.0,0.0,0.23294117647058823,0.14352941176470588,0.0,3,1,0
17,16,2,9,1,5,0,0,1,0,10.0,0.0,0.2447058823529412,0.15529411764705883,0.0,3,1,0
18,14,4,9,2,5,0,0,1,0,15.0,0.0,0.2564705882352941,0.16705882352941176,0.0,3,2,0
19,14,2,9,2,5,0,0,2,0,15.0,0.0,0.2611764705882353,0.17647058823529413,0.0,3,2,0
20,14,2,9,2,5,0,0,2,0,15.0,0.0,0.26823529411764707,0.18823529411764706,0.0,3,2,0
21,14,2,9,2,5,0,0,2,0,15.0,0.0,0.2776470588235294,0.2,0.0,3,2,0
22,13,3,9,2,5,0,0,2,0,12.666666666666666,0.0,0.28705882352941176,0.21176470588235294,0.0,3,2,0
23,13,1,9,2,5,0,0,3,0,12.666666666666666,0.0,0.2964705882352941,0.2211764705882353,0.0,3,2,0
24,13,1,9,2,5,0,0,3,0,12.666666666666666,0.0,0.3035294117647059,0.22823529411764706,0.0,3,2,0
25,13,1,9,2,5,0,0,3,0,12.666666666666666,0.0,0.3129411764705882,0.2376470588235294,0.0,3,2,0
26,13,1,10,2,5,0,0,3,0,12.666666666666666,0.0,0.3247058823529412,0.24705882352941178,0.0,2,2,0
27,13,1,10,2,5,0,0,3,0,12.666666666666666,0.0,0.3341176470588235,0.25176470588235295,0.0025,2,2,0
28,12,2,10,2,5,0,0,3,0,12.666666666666666,0.0,0.3458823529411765,0.25882352941176473,0.005,3,2,0
29,12,2,10,2,5,0,0,3,0,12.666666666666666,0.0,0.3552941176470588,0.26588235294117646,0.0075,3,2,0
30,11,3,10,2,4,1,0,3,0,10.5,0.0,0.36941176470588233,0.27058823529411763,0.01,3,2,1
31,10,2,10,2,4,1,0,4,0,10.5,0.0,0.3764705882352941,0.27294117647058824,0.0125,4,2,1
32,10,2,10,2,4,1,0,4,0,10.5,0.0,0.3811764705882353,0.2776470588235294,0.0175,4,2,1
33,10,2,10,2,3,2,0,4,0,10.5,0.0,0.3905882352941176,0.2776470588235294,0.0225,4,2,2
34,10,2,10,2,3,2,0,4,0,10.5,0.0,0.4,0.28,0.025,4,2,2
35,9,3,10,2,3,2,0,4,0,10.0,0.0,0.4117647058823529,0.28,0.03,4,2,2
36,9,1,10,2,3,2,0,5,0,10.0,0.0,0.4164705882352941,0.28,0.035,4,2,2
37,9,1,10,2,3,2,0,5,0,10.0,0.0,0.4211764705882353,0.28,0.04,4,2,2
38,9,1,10,2,3,2,0,5,0,10.0,0.0,0.4258823529411765,0.28,0.045,4,2,2
39,9,1,11,2,3,2,0,5,0,10.0,0.0,0.42823529411764705,0.2823529411764706,0.05,3,2,2
40,9,1,12,2,3,2,0,5,0,10.0,0.0,0.42823529411764705,0.2823529411764706,0.055,2,2,2
41,9,1,13,2,3,2,0,5,0,10.0,0.0,0.42823529411764705,0.2823529411764706,0.06,1,2,2
42,9,1,13,2,3,2,0,5,0,10.0,0.0,0.42823529411764705,0.2823529411764706,0.065,1,2,2
43,9,1,13,2,3,2,0,5,0,10.0,0.0,0.43058823529411766,0.2823529411764706,0.07,1,2,2
44,9,1,13,2,3,1,1,5,0,10.0,0.0,0.4329411764705882,0.2823529411764706,0.075,1,2,1
45,9,1,13,2,3,1,1,5,0,10.0,0.0,0.4376470588235294,0.2823529411764706,0.0775,1,2,1
46,9,1,13,2,3,1,1,5,0,10.0,0.0,0.4423529411764706,0.2823529411764706,0.0825,1,2,1
47,9,1,13,2,3,0,2,5,0,10.0,66.0,0.4470588235294118,0.2823529411764706,0.0875,1,1,0
48,9,1,13,0,3,0,2,5,1,10.0,66.0,0.45176470588235296,0.28705882352941176,0.09,1,1,0
49,8,2,13,0,3,0,2,5,1,10.0,66.0,0.45647058823529413,0.28941176470588237,0.095,2,1,0
50,7,3,13,0,3,0,2,5,1,10.0,66.0,0.4611764705882353,0.2917647058823529,0.1,3,1,0
51,7,3,13,0,3,0,2,5,1,10.0,66.0,0.4682352941176471,0.2917647058823529,0.105,3,1,0
52,7,3,13,0,3,0,2,5,1,10.0,66.0,0.4752941176470588,0.2917647058823529,0.11,3,1,0
53,7,3,13,0,3,0,2,5,1,10.0,66.0,0.4823529411764706,0.29411764705882354,0.115,3,1,0
54,7,3,13,0,3,0,2,5,1,10.0,66.0,0.4894117647058824,0.2964705882352941,0.12,3,1,0
55,7,3,12,1,3,0,2,5,1,10.0,66.0,0.49176470588235294,0.2988235294117647,0.125,3,2,0
56,7,3,12,1,3,0,2,5,1,10.0,66.0,0.49411764705882355,0.30117647058823527,0.13,3,2,0
57,7,3,11,2,2,1,2,5,1,10.0,35.0,0.4964705882352941,0.30823529411764705,0.1325,3,2,1
58,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5058823529411764,0.3129411764705882,0.135,3,2,1
59,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5152941176470588,0.3176470588235294,0.1375,3,2,1
60,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5223529411764706,0.3247058823529412,0.14,3,2,1
61,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5294117647058824,0.33176470588235296,0.1425,3,2,1
62,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5341176470588235,0.3388235294117647,0.145,3,2,1
63,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5364705882352941,0.34823529411764703,0.1475,3,2,1
64,7,3,11,0,2,1,2,5,2,10.0,35.0,0.5388235294117647,0.3552941176470588,0.15,3,2,1
65,7,3,11,0,3,1,2,5,2,10.0,35.0,0.5411764705882353,0.36470588235294116,0.15,3,1,1
66,7,3,11,0,3,1,2,5,2,10.0,35.0,0.5435294117647059,0.36941176470588233,0.15,3,1,1
67,7,3,11,0,3,1,2,5,2,10.0,35.0,0.5458823529411765,0.3788235294117647,0.1525,3,1,1
68,7,3,11,0,3,0,3,5,2,10.0,35.0,0.548235294117647,0.3905882352941176,0.1525,3,1,0
69,7,3,11,0,3,0,3,5,2,10.0,35.0,0.5552941176470588,0.4,0.1525,3,1,0
