,Green_Waste_Ground,Green_Waste_Carried,Yellow_Waste_Ground,Yellow_Waste_Carried,Red_Waste_Ground,Red_Waste_Carried,Waste_Disposed,Green_Robots_With_Inventory,Yellow_Robots_With_Inventory,Red_Robots_With_Inventory
0,10,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0,0
4,10,0,0,0,0,0,0,0,0,0
5,10,0,0,0,0,0,0,0,0,0
6,10,0,0,0,0,0,0,0,0,0
7,10,0,0,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0,0,0
9,10,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0
11,10,0,0,0,0,0,0,0,0,0
12,10,0,0,0,0,0,0,0,0,0
13,10,0,0,0,0,0,0,0,0,0
14,10,0,0,0,0,0,0,0,0,0
15,10,0,0,0,0,0,0,0,0,0
16,10,0,0,0,0,0,0,0,0,0
17,10,0,0,0,0,0,0,0,0,0
18,10,0,0,0,0,0,0,0,0,0
19,10,0,0,0,0,0,0,0,0,0
20,10,0,0,0,0,0,0,0,0,0
21,10,0,0,0,0,0,0,0,0,0
22,10,0,0,0,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0,0,0
24,10,0,0,0,0,0,0,0,0,0
25,10,0,0,0,0,0,0,0,0,0
26,9,1,0,0,0,0,0,1,0,0
27,9,1,0,0,0,0,0,1,0,0
28,9,1,0,0,0,0,0,1,0,0
29,9,1,0,0,0,0,0,1,0,0
30,9,1,0,0,0,0,0,1,0,0
31,9,1,0,0,0,0,0,1,0,0
32,9,1,0,0,0,0,0,1,0,0
33,9,1,0,0,0,0,0,1,0,0
34,9,1,0,0,0,0,0,1,0,0
35,8,2,0,0,0,0,0,2,0,0
36,8,2,0,0,0,0,0,2,0,0
37,8,2,0,0,0,0,0,2,0,0
38,8,2,0,0,0,0,0,2,0,0
39,8,2,0,0,0,0,0,2,0,0
40,8,2,0,0,0,0,0,2,0,0
41,8,2,0,0,0,0,0,2,0,0
42,8,2,0,0,0,0,0,2,0,0
43,8,2,0,0,0,0,0,2,0,0
44,6,4,0,0,0,0,0,2,0,0
45,6,0,0,2,0,0,0,2,0,0
46,6,0,2,0,0,0,0,0,0,0
47,6,0,2,0,0,0,0,0,0,0
48,6,0,2,0,0,0,0,0,0,0
49,6,0,2,0,0,0,0,0,0,0
50,6,0,2,0,0,0,0,0,0,0
51,6,0,2,0,0,0,0,0,0,0
52,6,0,2,0,0,0,0,0,0,0
53,5,1,2,0,0,0,0,1,0,0
54,5,1,2,0,0,0,0,1,0,0
55,5,1,2,0,0,0,0,1,0,0
56,5,1,2,0,0,0,0,1,0,0
57,5,1,2,0,0,0,0,1,0,0
58,5,1,2,0,0,0,0,1,0,0
59,5,1,2,0,0,0,0,1,0,0
60,5,1,2,0,0,0,0,1,0,0
61,5,1,2,0,0,0,0,1,0,0
62,5,1,2,0,0,0,0,1,0,0
63,5,1,2,0,0,0,0,1,0,0
64,5,1,2,0,0,0,0,1,0,0
65,5,1,2,0,0,0,0,1,0,0
66,5,1,2,0,0,0,0,1,0,0
67,5,1,2,0,0,0,0,1,0,0
68,5,1,2,0,0,0,0,1,0,0
69,5,1,2,0,0,0,0,1,0,0
70,4,2,2,0,0,0,0,2,0,0
71,4,2,2,0,0,0,0,2,0,0
72,4,2,2,0,0,0,0,2,0,0
73,3,3,2,0,0,0,0,2,0,0
74,3,1,2,1,0,0,0,2,0,0
75,3,1,3,0,0,0,0,1,0,0
76,3,1,3,0,0,0,0,1,0,0
77,3,1,3,0,0,0,0,1,0,0
78,3,1,3,0,0,0,0,1,0,0
79,3,1,3,0,0,0,0,1,0,0
80,3,1,3,0,0,0,0,1,0,0
81,3,1,3,0,0,0,0,1,0,0
82,3,1,3,0,0,0,0,1,0,0
83,3,1,3,0,0,0,0,1,0,0
84,3,1,3,0,0,0,0,1,0,0
85,3,1,3,0,0,0,0,1,0,0
86,3,1,3,0,0,0,0,1,0,0
87,3,1,3,0,0,0,0,1,0,0
88,3,1,3,0,0,0,0,1,0,0
89,3,1,3,0,0,0,0,1,0,0
90,3,1,3,0,0,0,0,1,0,0
91,3,1,3,0,0,0,0,1,0,0
92,3,1,3,0,0,0,0,1,0,0
93,3,1,3,0,0,0,0,1,0,0
94,3,1,3,0,0,0,0,1,0,0
95,3,1,3,0,0,0,0,1,0,0
96,3,1,3,0,0,0,0,1,0,0
97,3,1,3,0,0,0,0,1,0,0
98,3,1,3,0,0,0,0,1,0,0
99,3,1,3,0,0,0,0,1,0,0
100,3,1,3,0,0,0,0,1,0,0
101,2,2,3,0,0,0,0,2,0,0
102,2,2,3,0,0,0,0,2,0,0
103,2,2,3,0,0,0,0,2,0,0
104,2,2,3,0,0,0,0,2,0,0
105,2,2,3,0,0,0,0,2,0,0
106,2,2,3,0,0,0,0,2,0,0
107,2,2,3,0,0,0,0,2,0,0
108,2,2,3,0,0,0,0,2,0,0
109,2,2,3,0,0,0,0,2,0,0
110,2,2,3,0,0,0,0,2,0,0
111,2,2,3,0,0,0,0,2,0,0
112,2,2,3,0,0,0,0,2,0,0
113,2,2,3,0,0,0,0,2,0,0
114,2,2,3,0,0,0,0,2,0,0
115,2,2,3,0,0,0,0,2,0,0
116,2,2,3,0,0,0,0,2,0,0
117,2,2,3,0,0,0,0,2,0,0
118,2,2,3,0,0,0,0,2,0,0
119,2,2,3,0,0,0,0,2,0,0
120,2,2,3,0,0,0,0,2,0,0
121,2,2,3,0,0,0,0,2,0,0
